"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\README.md", "Markdown", 0, 0, 2, 0, 0, 1, 3
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\README.md", "Markdown", 0, 0, 61, 0, 2, 37, 100
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\gatsby-browser.js", "JavaScript", 0, 0, 0, 0, 6, 2, 8
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\gatsby-config.js", "JavaScript", 31, 0, 0, 0, 3, 1, 35
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\gatsby-node.js", "JavaScript", 4, 0, 0, 0, 15, 2, 21
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\gatsby-ssr.js", "JavaScript", 0, 0, 0, 0, 6, 2, 8
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\package-lock.json", "JSON", 0, 18864, 0, 0, 0, 1, 18865
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\package.json", "JSON", 0, 50, 0, 0, 14, 0, 64
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\components\CalendarDay.js", "JavaScript", 56, 0, 0, 0, 0, 5, 61
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\components\TaskContainer.js", "JavaScript", 8, 0, 0, 0, 0, 3, 11
